,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_gamma,param_lamda,param_threshold,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.4676384925842285,0.0005580584208170573,0.8255888946899665,0.8259728123237086,0.95,0.01,0.5,"{'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.5}",1,0.8209876543209876,0.8281660293914406,0.8273447576930164,0.8252637398074354,0.8284345342301668,0.8244886677722498,0.02172061987908458,3.865829806566857e-05,0.0032839193920428307,0.0015827897301020552
1,0.3778262138366699,0.001165946324666341,0.8249439513528455,0.8249286023146486,0.8,0.01,0.5,"{'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.5}",2,0.8208033904551317,0.8259086930483255,0.8267919660954487,0.8243884461233704,0.8272367087441261,0.8244886677722498,0.010649479597912164,5.759024782318736e-05,0.002933510298731362,0.0006942355409155966
2,0.4051634470621745,0.0007059574127197266,0.8246061238905439,0.8249439632959259,0.9,0.01,0.5,"{'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.5}",3,0.8205269946563479,0.8267379186437555,0.8254099871015294,0.8239277652370204,0.827881691698148,0.8241662060070021,0.04180910968555421,8.650773188262231e-05,0.0030558527270326346,0.0012722474451934435
3,0.38973244031270343,0.0007420380910237631,0.8200608089432143,0.8206136365328313,0.95,0.01,0.6,"{'gamma': 0.95, 'lamda': 0.01, 'threshold': 0.6}",4,0.8167495854063018,0.8228221311097803,0.820342730790492,0.8196434329939651,0.8230903897539851,0.8193753454947484,0.0062194501435379876,0.00019744612552489196,0.0025962676116137247,0.0015654720159574797
4,0.467609961827596,0.000805060068766276,0.8195080003685391,0.820199025149897,0.8,0.01,0.6,"{'gamma': 0.8, 'lamda': 0.01, 'threshold': 0.6}",5,0.8160125299428782,0.8218086331598102,0.8214483139856275,0.8195052287280601,0.8210633004699162,0.8192832135618205,0.02088338144792498,2.008510462307143e-05,0.002476720353066058,0.0011417679690412374
5,0.4169716040293376,0.0007194677988688151,0.818801633856454,0.8197844180113046,0.9,0.01,0.6,"{'gamma': 0.9, 'lamda': 0.01, 'threshold': 0.6}",6,0.8149069467477428,0.8213940203620952,0.8197899391929243,0.8190445478417101,0.8217082834239381,0.8189146858301087,0.01253517551931939,0.0001141644710740947,0.00286321053652068,0.0011393948192694372
6,0.47394998868306476,0.00049591064453125,0.7708915573846012,0.7710912165500184,0.8,0.1,0.5,"{'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.5}",7,0.7716049382716049,0.7735753443589626,0.7693016399484062,0.7708112590408625,0.7717681746982401,0.7688870462502303,0.08749164190459922,6.330271444425999e-05,0.0011262406079092177,0.0019241997374294403
7,0.4238905906677246,0.0009531180063883463,0.7666533583120911,0.7667608728095555,0.8,0.1,0.6,"{'gamma': 0.8, 'lamda': 0.1, 'threshold': 0.6}",8,0.7669062096922793,0.7689224674068273,0.7661691542288557,0.7661583820887272,0.7668847323320741,0.7652017689331122,0.0016962506922343693,5.992306322022871e-05,0.000342504125296242,0.0015775816058321188
8,0.3861203193664551,0.0006088415781656901,0.7664998003746814,0.7663923316374274,0.95,0.1,0.5,"{'gamma': 0.95, 'lamda': 0.1, 'threshold': 0.5}",9,0.7673668693569191,0.7679550375454923,0.7665376819605675,0.7662505182659972,0.7655947664240302,0.7649714391007923,0.015067838931859754,8.448282722103385e-05,0.0007239481815610316,0.0012221697083578593
9,0.427858829498291,0.0007230440775553385,0.7657012991001505,0.765624540063642,0.9,0.1,0.5,"{'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.5}",10,0.7664455500276396,0.7674022204818722,0.7652478348995762,0.7651448841387571,0.765410485580024,0.7643265155702966,0.06483584585295998,0.00015169372597104145,0.0005304494508442562,0.0013006517675074646
10,0.3500524361928304,0.0005322297414143881,0.762507294002027,0.7628144326372791,0.95,0.1,0.6,"{'gamma': 0.95, 'lamda': 0.1, 'threshold': 0.6}",11,0.763681592039801,0.7647302713410421,0.7630366685093053,0.762380798820657,0.7608034644798674,0.7613322277501382,0.030047350762663204,0.00012229755066287811,0.0012331694847698322,0.0014207283992397344
11,0.4116965929667155,0.0006211598714192709,0.762476582414545,0.7627222908008863,0.9,0.1,0.6,"{'gamma': 0.9, 'lamda': 0.1, 'threshold': 0.6}",12,0.7633130643080892,0.7644538628092321,0.7626681407775935,0.7620122541115769,0.7614484474338893,0.76170075548185,0.0020815060128997922,0.0002077682911972372,0.0007731786751156413,0.0012309925708265865
